OrderNumber,SalesChannel,Salesteamindex,Orderqty,unitprice,unitcost,SalesPrice,CostPrice,Profit,SalesTeam,Region,ProductCategory,ProductName,state
SO1,Online,19,8,504.25,360.18,4034,2881.44,1152.56,Nicholas Cunningham,South,Collections,Vanities,California
SO2,Wholesale,20,5,551.55,393.96,2757.75,1969.8,787.95,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO3,In-Store,12,4,253.8,181.29,1015.2,725.16,290.04,Carl Nguyen,Midwest,Furniture,Dining Furniture,Arizona
SO4,Wholesale,9,9,330.81,236.3,2977.29,2126.7,850.59,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO5,Wholesale,15,4,387.92,277.08,1551.68,1108.32,443.36,Roger Alexander,Midwest,Furniture,Outdoor Furniture,Arizona
SO6,Distributor,6,4,322.87,230.62,1291.48,922.48,369,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO7,In-Store,7,2,293.17,209.41,586.34,418.82,167.52,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO8,Online,21,8,273.99,195.71,2191.92,1565.68,626.24,Samuel Fowler,Midwest,Decoratives,Floral,California
SO9,Wholesale,26,9,499.79,356.99,4498.11,3212.91,1285.2,Donald Reynolds,South,Lighting,Candles,California
SO10,Wholesale,19,1,288.26,205.9,288.26,205.9,82.36,Nicholas Cunningham,South,Collections,Vanities,California
SO11,Online,15,10,621.18,443.7,6211.8,4437,1774.8,Roger Alexander,Midwest,Furniture,Outdoor Furniture,Arizona
SO12,Wholesale,10,2,245.59,175.42,491.18,350.84,140.34,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO13,Wholesale,18,8,348.32,248.8,2786.56,1990.4,796.16,Shawn Wallace,South,Sports,Basketball,California
SO14,In-Store,15,1,575.95,411.39,575.95,411.39,164.56,Roger Alexander,Midwest,Furniture,Outdoor Furniture,Arizona
SO15,Wholesale,21,1,383.51,273.94,383.51,273.94,109.57,Samuel Fowler,Midwest,Decoratives,Floral,California
SO16,Online,24,8,209.67,149.77,1677.36,1198.16,479.2,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO17,Distributor,21,1,323.12,230.8,323.12,230.8,92.32,Samuel Fowler,Midwest,Decoratives,Floral,California
SO18,Wholesale,10,9,173.69,124.06,1563.21,1116.54,446.67,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO19,In-Store,22,3,644.2,460.14,1932.6,1380.42,552.18,Joe Price,Northeast,Drinkware,Wine Storage,California
SO20,Distributor,10,6,387.17,276.55,2323.02,1659.3,663.72,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO21,Online,21,8,544.19,388.71,4353.52,3109.68,1243.84,Samuel Fowler,Midwest,Decoratives,Floral,California
SO22,Online,9,5,380.98,272.13,1904.9,1360.65,544.25,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO23,Distributor,14,5,542.05,387.18,2710.25,1935.9,774.35,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO24,Distributor,4,5,261.71,186.94,1308.55,934.7,373.85,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO25,Online,7,1,337.5,241.07,337.5,241.07,96.43,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO26,Online,24,9,370.51,264.65,3334.59,2381.85,952.74,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO27,Wholesale,4,6,586.31,418.79,3517.86,2512.74,1005.12,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO28,Wholesale,3,2,215.67,154.05,431.34,308.1,123.24,Jerry Green,West,Lighting,Table Lamps,Alabama
SO29,Distributor,2,2,340.71,243.36,681.42,486.72,194.7,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO30,Wholesale,18,5,389.87,278.48,1949.35,1392.4,556.95,Shawn Wallace,South,Sports,Basketball,California
SO31,Wholesale,10,8,566.48,404.63,4531.84,3237.04,1294.8,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO32,In-Store,4,10,285.54,203.95,2855.4,2039.5,815.9,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO33,Distributor,2,3,225.18,160.84,675.54,482.52,193.02,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO34,Wholesale,17,5,579.53,413.95,2897.65,2069.75,827.9,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO35,In-Store,6,6,593.56,423.97,3561.36,2543.82,1017.54,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO36,Distributor,2,1,545.45,389.61,545.45,389.61,155.84,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO37,In-Store,13,8,551.27,393.77,4410.16,3150.16,1260,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO38,Wholesale,5,7,416.98,297.84,2918.86,2084.88,833.98,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO39,Distributor,10,10,262.33,187.38,2623.3,1873.8,749.5,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO40,In-Store,11,2,614.08,438.63,1228.16,877.26,350.9,Joshua Little,South,Decoratives,Ornaments,Arizona
SO41,Distributor,3,4,239.83,171.31,959.32,685.24,274.08,Jerry Green,West,Lighting,Table Lamps,Alabama
SO42,In-Store,9,3,290.22,207.3,870.66,621.9,248.76,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO43,In-Store,24,3,444.07,317.19,1332.21,951.57,380.64,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO44,Wholesale,25,4,288.65,206.18,1154.6,824.72,329.88,Patrick Graham,South,Electronics,TV and video,California
SO45,Online,11,5,180.97,129.26,904.85,646.3,258.55,Joshua Little,South,Decoratives,Ornaments,Arizona
SO46,In-Store,3,4,190.49,136.07,761.96,544.28,217.68,Jerry Green,West,Lighting,Table Lamps,Alabama
SO47,Online,25,9,194.43,138.88,1749.87,1249.92,499.95,Patrick Graham,South,Electronics,TV and video,California
SO48,Online,25,6,304.31,217.36,1825.86,1304.16,521.7,Patrick Graham,South,Electronics,TV and video,California
SO49,Online,25,5,455.08,325.06,2275.4,1625.3,650.1,Patrick Graham,South,Electronics,TV and video,California
SO50,Wholesale,1,3,534.18,381.56,1602.54,1144.68,457.86,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO51,Wholesale,25,9,299.54,213.96,2695.86,1925.64,770.22,Patrick Graham,South,Electronics,TV and video,California
SO52,Online,5,8,212.67,151.91,1701.36,1215.28,486.08,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO53,Online,4,4,184.1,131.5,736.4,526,210.4,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO54,In-Store,4,1,605.04,432.17,605.04,432.17,172.87,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO55,In-Store,19,1,434.46,310.33,434.46,310.33,124.13,Nicholas Cunningham,South,Collections,Vanities,California
SO56,Distributor,19,6,393.68,281.2,2362.08,1687.2,674.88,Nicholas Cunningham,South,Collections,Vanities,California
SO57,Online,6,10,514.02,367.16,5140.2,3671.6,1468.6,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO58,Online,4,9,628.65,449.04,5657.85,4041.36,1616.49,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO59,Distributor,8,3,454.75,324.82,1364.25,974.46,389.79,George Lewis,West,Drinkware,Cocktail Glasses,Arizona
SO60,Online,10,6,184.67,131.91,1108.02,791.46,316.56,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO61,Distributor,9,9,207.67,148.33,1869.03,1334.97,534.06,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO62,In-Store,20,2,465.11,332.22,930.22,664.44,265.78,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO63,In-Store,17,9,310.43,221.74,2793.87,1995.66,798.21,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO64,Distributor,3,10,643.7,459.78,6437,4597.8,1839.2,Jerry Green,West,Lighting,Table Lamps,Alabama
SO65,In-Store,6,9,380.69,271.92,3426.21,2447.28,978.93,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO66,Online,9,6,431.01,307.86,2586.06,1847.16,738.9,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO67,Wholesale,18,4,586.06,418.62,2344.24,1674.48,669.76,Shawn Wallace,South,Sports,Basketball,California
SO68,Online,21,4,424.1,302.93,1696.4,1211.72,484.68,Samuel Fowler,Midwest,Decoratives,Floral,California
SO69,Wholesale,15,1,344.87,246.34,344.87,246.34,98.53,Roger Alexander,Midwest,Furniture,Outdoor Furniture,Arizona
SO70,Online,21,6,242.6,173.29,1455.6,1039.74,415.86,Samuel Fowler,Midwest,Decoratives,Floral,California
SO71,Online,20,5,160.17,114.41,800.85,572.05,228.8,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO72,Wholesale,11,6,291.35,208.11,1748.1,1248.66,499.44,Joshua Little,South,Decoratives,Ornaments,Arizona
SO73,Distributor,10,3,590.59,421.85,1771.77,1265.55,506.22,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO74,Distributor,20,6,589.28,420.92,3535.68,2525.52,1010.16,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO75,Online,3,6,502.9,359.21,3017.4,2155.26,862.14,Jerry Green,West,Lighting,Table Lamps,Alabama
SO76,In-Store,1,1,250.13,178.67,250.13,178.67,71.46,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO77,Distributor,21,7,383.62,274.01,2685.34,1918.07,767.27,Samuel Fowler,Midwest,Decoratives,Floral,California
SO78,Distributor,23,7,323.28,230.92,2262.96,1616.44,646.52,Douglas Tucker,Midwest,Accessories,Accessories,California
SO79,Wholesale,19,7,579.85,414.18,4058.95,2899.26,1159.69,Nicholas Cunningham,South,Collections,Vanities,California
SO80,Wholesale,14,6,303.66,216.9,1821.96,1301.4,520.56,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO81,In-Store,22,9,497.15,355.11,4474.35,3195.99,1278.36,Joe Price,Northeast,Drinkware,Wine Storage,California
SO82,Distributor,16,10,287.63,205.45,2876.3,2054.5,821.8,Anthony Berry,West,Drinkware,Stemware,California
